image,image_name,MAP,UQ[VR],UQ[IE],UQ[MI],UQ[TR],UQ[PS],MAP[50],MAP[75],MAP[Small],MAP[Medium],MAP[Large],MAR[1],MAR[5],MAR[100],MAR[Small],MAR[Medium],MAR[Large]
29,dataset/origimg/org/image_open38.jpg,1.0,0.0,0.02851,-1.0631612842090105e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.5,1.0,1.0,-1.0,1.0,-1.0
30,dataset/origimg/org/image_top55.jpg,0.6633663177490234,0.0,0.063945,2.9128304569314006e-06,0.0,-1.0,0.6633663177490234,-1.0,-1.0,0.6633663177490234,0.6633663177490234,0.1666666716337204,0.6666666865348816,0.6666666865348816,-1.0,0.6666666865348816,0.6666666865348816
31,dataset/origimg/org/image_top319.jpg,0.6633663177490234,0.0,0.07859,-4.100627080307756e-07,0.0,-1.0,0.6633663177490234,-1.0,-1.0,0.594059407711029,1.0,0.1666666716337204,0.6666666865348816,0.6666666865348816,-1.0,0.6000000238418579,1.0
32,dataset/origimg/org/image_top54.jpg,0.7128713130950928,0.0,0.111258,-2.309061203848231e-06,0.0,-1.0,0.7128713130950928,-1.0,-1.0,0.5049505233764648,1.0,0.1428571492433548,0.7142857313156128,0.7142857313156128,-1.0,0.5,1.0
33,dataset/origimg/org/image_top57.jpg,1.0,0.0,0.01874,1.7830747084390808e-06,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
34,dataset/origimg/org/image_open55.jpg,0.7524752616882324,0.0,0.2231466666666667,-3.339951833066998e-06,0.0,-1.0,0.7524752616882324,-1.0,-1.0,0.6633663177490234,1.0,0.25,0.75,0.75,-1.0,0.6666666865348816,1.0
35,dataset/origimg/org/image_top175.jpg,1.0,0.0,0.00269,-3.619044716751847e-06,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
36,dataset/origimg/org/image_top233.jpg,1.0,0.0,0.0629775,-1.6382314109145195e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.25,1.0,1.0,-1.0,1.0,1.0
37,dataset/origimg/org/image_open58.jpg,0.6633663177490234,0.0,0.03502,-5.41533058898841e-07,0.0,-1.0,0.6633663177490234,-1.0,-1.0,0.5049505233764648,1.0,0.3333333432674408,0.6666666865348816,0.6666666865348816,-1.0,0.5,1.0
38,dataset/origimg/org/image_top442.jpg,1.0,0.0,0.04947,-1.1764057598246964e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.25,1.0,1.0,-1.0,1.0,1.0
39,dataset/origimg/org/image_top58.jpg,0.594059407711029,0.0,0.3672533333333334,-7.127174405068224e-07,0.0,-1.0,0.594059407711029,-1.0,-1.0,0.5346534848213196,0.7920792102813721,0.05000000074505806,0.25,0.6000000238418579,-1.0,0.5333333611488342,0.800000011920929
40,dataset/origimg/org/image_top120.jpg,1.0,0.0,0.12810000000000002,-1.7371433916746105e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.3333333432674408,1.0,1.0,-1.0,1.0,-1.0
41,dataset/origimg/org/image_top45.jpg,0.7920792102813721,0.0,0.19203,-6.15656429704247e-07,0.0,-1.0,0.7920792102813721,-1.0,-1.0,0.7524752616882324,1.0,0.20000000298023224,0.800000011920929,0.800000011920929,-1.0,0.75,1.0
42,dataset/origimg/org/image_top549.jpg,0.5049505233764648,0.0,0.0332,3.6311910407427206e-06,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.0,1.0,0.5,0.5,0.5,-1.0,0.0,1.0
43,dataset/origimg/org/image_top358.jpg,1.0,0.0,0.026557499999999998,-1.4082203841191544e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.25,1.0,1.0,-1.0,1.0,1.0
44,dataset/origimg/org/image_top579.jpg,0.6633663177490234,0.0,0.42114,1.974928681033189e-06,0.0,-1.0,0.6633663177490234,-1.0,-1.0,0.6633663177490234,-1.0,0.3333333432674408,0.6666666865348816,0.6666666865348816,-1.0,0.6666666865348816,-1.0
45,dataset/origimg/org/image_top325.jpg,1.0,0.0,0.0058,2.1048373346564707e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,-1.0,1.0,1.0
46,dataset/origimg/org/image_top552.jpg,1.0,0.0,0.32495,4.989119212603279e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.3333333432674408,1.0,1.0,-1.0,1.0,-1.0
47,dataset/origimg/org/image_top28.jpg,1.0,0.0,0.00949,-6.604506528479215e-08,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
48,dataset/origimg/org/image_top245.jpg,1.0,0.0,0.00572,1.757658867519371e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,1.0,-1.0,1.0,1.0
49,dataset/origimg/org/image_top474.jpg,0.7524752616882324,0.0,0.03986,2.4721425876432615e-07,0.0,-1.0,0.7524752616882324,-1.0,-1.0,-1.0,0.7524752616882324,0.25,0.75,0.75,-1.0,-1.0,0.75
50,dataset/origimg/org/image_top597.jpg,0.40594059228897095,0.0,0.24626,-2.1572834419345912e-06,0.0,-1.0,0.40594059228897095,-1.0,-1.0,0.40594059228897095,-1.0,0.20000000298023224,0.4000000059604645,0.4000000059604645,-1.0,0.4000000059604645,-1.0
51,dataset/origimg/org/image_open50.jpg,0.4455445408821106,0.0,0.73134,-5.124944401774245e-07,0.0,-1.0,0.4455445408821106,-1.0,-1.0,0.3762376308441162,1.0,0.1111111119389534,0.4444444477558136,0.4444444477558136,-1.0,0.375,1.0
